Iteration,Best_Yield,Best_Impurity,Best_ImpurityXRatio,Desirability
10,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.057989
dtype: float64
11,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.058381
dtype: float64
12,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.058381
dtype: float64
13,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.058381
dtype: float64
14,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.058477
dtype: float64
15,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.058479
dtype: float64
16,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.058479
dtype: float64
17,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.058479
dtype: float64
18,0.9999401828768312,3.1259414287665474e-06,4.830104328321552,Desirability    0.058479
dtype: float64
19,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
20,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
21,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
22,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
23,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
24,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
25,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
26,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
27,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
28,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
29,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
30,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
31,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
32,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
33,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
34,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
35,0.9999853263744448,3.1259414287665474e-06,4.830104328321552,Desirability    0.05848
dtype: float64
